A	B	C	D	E	ACD	BCE	Bloque
-1	-1	-1	-1	-1	-1	-1	1
1	-1	-1	-1	-1	1	-1	2
-1	1	-1	-1	-1	-1	1	3
1	1	-1	-1	-1	1	1	4
-1	-1	1	-1	-1	1	1	4
1	-1	1	-1	-1	-1	1	3
-1	1	1	-1	-1	1	-1	2
1	1	1	-1	-1	-1	-1	1
-1	-1	-1	1	-1	1	-1	2
1	-1	-1	1	-1	-1	-1	1
-1	1	-1	1	-1	1	1	4
1	1	-1	1	-1	-1	1	3
-1	-1	1	1	-1	-1	1	3
1	-1	1	1	-1	1	1	4
-1	1	1	1	-1	-1	-1	1
1	1	1	1	-1	1	-1	2
-1	-1	-1	-1	1	-1	1	3
1	-1	-1	-1	1	1	1	4
-1	1	-1	-1	1	-1	-1	1
1	1	-1	-1	1	1	-1	2
-1	-1	1	-1	1	1	-1	2
1	-1	1	-1	1	-1	-1	1
-1	1	1	-1	1	1	1	4
1	1	1	-1	1	-1	1	3
-1	-1	-1	1	1	1	1	4
1	-1	-1	1	1	-1	1	3
-1	1	-1	1	1	1	-1	2
1	1	-1	1	1	-1	-1	1
-1	-1	1	1	1	-1	-1	1
1	-1	1	1	1	1	-1	2
-1	1	1	1	1	-1	1	3
1	1	1	1	1	1	1	4
