A	B	C	D	E	ACE	BDE	Bloque	
-1	-1	-1	-1	-1	-1	-1	1	
1	-1	-1	-1	-1	1	-1	2	
-1	1	-1	-1	-1	-1	1	3	
1	1	-1	-1	-1	1	1	4	
-1	-1	1	-1	-1	1	-1	2	
1	-1	1	-1	-1	-1	-1	1	
-1	1	1	-1	-1	1	1	4	
1	1	1	-1	-1	-1	1	3	
-1	-1	-1	1	-1	-1	1	3	
1	-1	-1	1	-1	1	1	4	
-1	1	-1	1	-1	-1	-1	1	
1	1	-1	1	-1	1	-1	2	
-1	-1	1	1	-1	1	1	4	
1	-1	1	1	-1	-1	1	3	
-1	1	1	1	-1	1	-1	2	
1	1	1	1	-1	-1	-1	1	
-1	-1	-1	-1	1	1	1	4	
1	-1	-1	-1	1	-1	1	3	
-1	1	-1	-1	1	1	-1	2	
1	1	-1	-1	1	-1	-1	1	
-1	-1	1	-1	1	-1	1	3	
1	-1	1	-1	1	1	1	4	
-1	1	1	-1	1	-1	-1	1	
1	1	1	-1	1	1	-1	2	
-1	-1	-1	1	1	1	-1	2	
1	-1	-1	1	1	-1	-1	1	
-1	1	-1	1	1	1	1	4	
1	1	-1	1	1	-1	1	3	
-1	-1	1	1	1	-1	-1	1	
1	-1	1	1	1	1	-1	2	
-1	1	1	1	1	-1	1	3	
1	1	1	1	1	1	1	4	
